time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.12703	4	5	3	14453	0.00802856
1.12703	4	4	3	5604	0.00802856
1.12703	4	3	3	2567	0.00802856
1.12703	4	2	3	2567	0.00802856
1.12839	4	5	3	10511	0.00238571
1.1286	4	4	3	6480	0.0026
1.12889	2	2	3	638	0.00288571
1.12889	4	2	3	463	0.00288571
1.12903	2	1	3	463	0.00302856
1.12903	4	1	3	16115	0.00302856
1.12989	2	2	3	638	0.00288571
1.13003	2	1	3	463	0.00302856
1.13003	4	1	3	16115	0.00302856
1.13103	2	5	3	14453	0.00802856
1.13103	2	4	3	11824	0.00802856
1.13103	4	5	3	19709	0.00802856
1.13139	4	5	3	10511	0.00238571
1.1316	4	4	3	6480	0.0026
1.13174	4	3	3	463	0.00274285
1.13189	4	2	3	1107	0.00288571
1.13203	2	5	3	14453	0.00802856
1.13203	2	4	3	11824	0.00802856
1.13203	2	3	3	2567	0.00802856
1.13203	2	2	3	11387	0.00802856
1.13203	4	1	3	16115	0.00302856
1.13239	4	5	3	19709	0.00238571
1.13274	4	3	3	5604	0.00274285
1.13289	4	2	3	7005	0.00288571
1.13303	2	1	3	16115	0.00902856
1.13303	4	1	3	16115	0.00302856
1.13403	2	4	3	24176	0.00802856
1.13403	4	3	3	463	0.00802856
1.13503	4	5	3	19709	0.00802856
1.13503	4	2	3	13137	0.00802856
1.13603	2	3	3	2565	0.0130286
1.13603	4	4	3	19709	0.0130286
1.13603	4	3	3	463	0.0130286
1.13639	4	5	3	10511	0.00238571
1.1366	2	4	3	8409	0.0026
1.1366	4	4	3	3851	0.0026
1.13674	2	3	3	638	0.00274285
1.13689	2	2	3	638	0.00288571
1.13689	4	2	3	1107	0.00288571
1.13703	2	1	3	638	0.00302856
1.13703	4	1	3	16115	0.00302856
1.13739	2	5	3	14453	0.00238571
1.13767	2	3	3	7005	0.00267142
1.13781	2	2	3	7882	0.00281428
1.13796	2	1	3	638	0.00295714
1.13803	4	4	3	24176	0.00802856
1.13903	2	5	3	24176	0.0130286
1.13903	2	3	3	16115	0.0130286
1.13903	4	1	3	16115	0.00302856
1.13996	2	5	3	24176	0.0129571
1.13996	2	4	3	24176	0.0129571
1.13996	2	3	3	14890	0.0129571
1.14003	4	4	3	19709	0.0130286
1.14003	4	3	3	13137	0.0130286
1.1406	2	4	3	8409	0.0026
1.1406	4	4	3	6480	0.0026
1.14074	2	3	3	638	0.00274285
1.14089	4	2	3	1107	0.00288571
1.14103	4	1	3	16115	0.00302856
1.14203	2	5	3	10511	0.00802856
1.14239	4	5	3	10511	0.00238571
1.1426	4	4	3	6480	0.0026
1.14274	4	3	3	463	0.00274285
1.14289	4	2	3	1107	0.00288571
1.14303	2	4	3	16115	0.00802856
1.14303	4	1	3	16115	0.00302856
1.14403	4	5	3	19709	0.00802856
1.14403	4	4	3	19709	0.00802856
1.14403	4	3	3	13137	0.00802856
1.14403	4	2	3	13137	0.00802856
1.14503	4	1	3	16115	0.00302856
1.14603	2	5	3	10511	0.00802856
1.14603	2	1	3	16115	0.00802856
1.14603	4	5	3	11824	0.00802856
1.14639	2	5	3	8409	0.00238571
1.1466	2	4	3	8409	0.0026
1.14674	2	3	3	638	0.00274285
1.14689	2	2	3	1107	0.00288571
1.14703	4	3	3	463	0.0130286
1.14703	2	1	3	638	0.00302856
1.14739	4	5	3	10511	0.00238571
1.1476	2	4	3	8409	0.0026
1.1476	4	4	3	6480	0.0026
1.14774	2	3	3	638	0.00274285
1.14789	2	2	3	1107	0.00288571
1.14789	4	2	3	1107	0.00288571
1.14803	2	1	3	638	0.00302856
1.14803	4	1	3	16115	0.00302856
1.14903	2	5	3	17080	0.00802856
