% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.086	1	0	2	4	108	8	0	4	3	15	1	0	14	8412
1.086	1	0	3	3	108	8	0	7	2	15	1	0	2	641
1.086	1	0	4	2	108	8	0	9	2	14	1	0	4	1110
1.086	1	0	5	1	108	8	0	11	2	12	1	0	2	641
1.086	3	0	6	5	108	8	0	1	3	14	1	0	16	10514
1.086	3	0	7	4	108	8	0	4	3	12	1	0	12	6483
1.086	3	0	8	3	108	8	0	7	2	15	1	0	0	466
1.086	3	0	9	2	108	8	0	9	2	14	1	0	4	1110
1.086	3	0	10	1	108	8	0	11	2	14	1	0	28	16118
1.087	1	0	1	5	108	9	0	1	3	12	1	0	24	19712
1.087	1	0	2	4	108	9	0	4	3	12	1	0	24	19712
1.087	1	0	3	3	108	9	0	7	2	13	1	0	24	13140
1.087	1	0	4	2	108	9	0	9	2	13	1	0	24	13140
1.087	1	0	5	1	108	9	0	11	2	15	1	0	24	13140
1.087	3	0	6	5	108	9	0	1	3	13	1	0	16	10514
1.087	3	0	7	4	108	9	0	4	3	11	1	0	12	6483
1.087	3	0	8	3	108	9	0	7	2	14	1	0	24	13140
1.087	3	0	9	2	108	9	0	9	2	12	1	0	4	1110
